Document_ID,File_Name,Absolute_Path,Department,Category,Document_Class
DOC00001,86261.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86261.jpg,Operations,OCR Image,IMAGE
DOC00002,86797.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86797.jpg,Operations,OCR Image,IMAGE
DOC00003,86798.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86798.jpg,Operations,OCR Image,IMAGE
DOC00004,86801.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86801.jpg,Operations,OCR Image,IMAGE
DOC00005,86808.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86808.jpg,Operations,OCR Image,IMAGE
DOC00006,86839.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86839.jpg,Operations,OCR Image,IMAGE
DOC00007,86860.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86860.jpg,Operations,OCR Image,IMAGE
DOC00008,86861.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86861.jpg,Operations,OCR Image,IMAGE
DOC00009,86868.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86868.jpg,Operations,OCR Image,IMAGE
DOC00010,86877.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86877.jpg,Operations,OCR Image,IMAGE
DOC00011,86886.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86886.jpg,Operations,OCR Image,IMAGE
DOC00012,86894.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86894.jpg,Operations,OCR Image,IMAGE
DOC00013,images (1).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images (1).jpg,Operations,OCR Image,IMAGE
DOC00014,images (2).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images (2).jpg,Operations,OCR Image,IMAGE
DOC00015,images (3).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images (3).jpg,Operations,OCR Image,IMAGE
DOC00016,images (4).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images (4).jpg,Operations,OCR Image,IMAGE
DOC00017,images (5).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images (5).jpg,Operations,OCR Image,IMAGE
DOC00018,images.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images.jpg,Operations,OCR Image,IMAGE
DOC00019,images (1).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images (1).jpg,Quality,OCR Image,IMAGE
DOC00020,images (1).png,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images (1).png,Quality,OCR Image,IMAGE
DOC00021,images (2).png,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images (2).png,Quality,OCR Image,IMAGE
DOC00022,images (6).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images (6).jpg,Quality,OCR Image,IMAGE
DOC00023,images.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images.jpg,Quality,OCR Image,IMAGE
DOC00024,images.png,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images.png,Quality,OCR Image,IMAGE
